Description;label;distribution;variable;lower;median;upper
Percentage discounting as a measurement of time preference for benefits and costs.;Discount rate;posnorm;discount_rate;4;;8
Coefficient of variation (measure of relative variability);Coefficient of variation;posnorm;var_CV;5;NA;20
Amount of years that simulation is running for/ until farmer goes into pension;Timespan until Farmer goes into Pension (years);const;operating_years;40;NA;40
Wheat yield under normal conditions;Yield Wheat(kg/ha);posnorm;yield_wheat;3200;NA;12700
Soy Bean yield under normal conditions;Yield Soy Bean(kg/ha);posnorm;yield_soy_bean;1750;NA;3200
Maize yield under normal conditions;Yield Maize (kg/ha);posnorm;yield_maize;5200;NA;9600
Landsberger Gemenge yield under normal conditions;Yield Landsberger Gemenge (kg/ha);posnorm;yield_landsberger_gemenge;6000;NA;9000
Cropping Area that is cultivated by annuals;Available area perennials (ha);const;hectares_annuals;13.24;NA;13.24
Yield of an apple tree at maximum harvest phase (kg/tree(;Maximum apple tree yield (kg/tree);posnorm;max_harvest_apple;80;NA;90
Time until apple reaches first harvest phase (years);Time to first yield estimate (years);const;time_to_first_yield_estimate_apple;4;NA;4
Apple yield of first harvest phase in % of maximum yield;First yield estimate in %;posnorm;first_yield_estimate_percent_apple;8;NA;15
Time until apple reaches second harvest phase (years);Time to second yield estimate (years);const;time_to_second_yield_estimate_apple;6;NA;6
Apple yield of second harvest phase in % of maximum yield;Second yield estimate in %;posnorm;second_yield_estimate_percent_apple;40;NA;60
Years until apple tree gets removed from system;Lifespan apple tree (years);const;n_years_apple;40;NA;40
Yield of a plum tree at maximum harvest phase (kg/tree);Maximum plum tree yield (kg/tree);posnorm;max_harvest_plum;80;NA;90
Time until plum reaches first harvest phase (years);Time to first yield estimate (years);const;time_to_first_yield_estimate_plum;4;NA;4
Plum yield of first harvest phase in % of maximum yield;First yield estimate in %;posnorm;first_yield_estimate_percent_plum;8;NA;15
Time until plum reaches second harvest phase (years);Time to second yield estimate (years);const;time_to_second_yield_estimate_plum;6;NA;6
Plum yield of second harvest phase in % of maximum yield;Second yield estimate in %;posnorm;second_yield_estimate_percent_plum;40;NA;60
Years until plum tree gets removed from system;Lifespan plum tree (years);const;n_years_plum;40;NA;40
One tree requires 10m², therefore amount of trees per ha is 1000;Amount of trees per ha;const;trees_per_ha;1000;NA;1000
Cropping area that is cultivated by annuals (ha);Available area perennials (ha);const;hectares_annuals;13.24;NA;13.24
Ecological benefits including carbon sequestration, increased biodviersity interpreted in a monetary value;Ecological benefits of AF system (EUR/ha/ year);posnorm;ecological_benefits;3;NA;50
Personal social moral benefits that farmer gains by working in AF system instead of conventional system;Social moral benefits of farmer in AF system (EUR/ha/year);posnorm;social_moral_benefits;10;NA;50
Subsidies of the eco scheme tree programm that farmer receives;Subsidies eco scheme trees (EUR/ha of trees/ year);const;subsidies_eco_scheme_tree;200;NA;200
Investment for a young apple tree  (EUR/tree);Cost apple tree (EUR/tree);posnorm;apple_tree;20;NA;35
Investment for a young plum tree (EUR/tree);Cost plum tree (EUR/tree);posnorm;plum_tree;20;NA;35
New infrastructure that is required for an AF system such as hedges, fences, irrigation system, etc. (EUR/ha);New infrastructure cost (EUR/ha);posnorm;new_infrastructure_cost;5000;NA;8000
Irrigation cost for young trees (EUR/L);Irrigation cost (EUR/l);posnorm;irrigation_cost;0.01;NA;0.31
Liters of water that young trees require per year (l/tree/year);Irrigation amount  (l/tree/year);posnorm;irrigation_amount;30;NA;60
Rental cost for new machinery that is required for AF system (EUR/ha);Rental cost for new harvesting machinery (Eur/ha);posnorm;new_machinery_rental_cost;50;NA;100
Machinery caintenance cost (EUR);Machinery maintenance cost (EUR);posnorm;machinery_maintenance_cost;50;NA;100
Fuel cost of machinery (EUR);Fuel cost (EUR/ha);posnorm;fuel_cost;150;NA;250
Labour cost including weeding, harvesting, etc. (EUR/hour);Labour cost (EUR/hour);posnorm;labour_cost;12;NA;25
Labour hours including weeding, harvesting, pruning, etc. (hour/ha);Labour hours (hour/ha);posnorm;labour_hours;20;NA;50
Cost for distribution, including contact with retailers, finding new market and marketing costs;Cost for process of distribution (Eur/ha);posnorm;distribution_cost;100;NA;200
Seed cost wheat (EUR/ha);Seed cost wheat (EUR/ha);posnorm;seed_cost_wheat;125;NA;200
Seed cost soy bean (EUR/ha);Seed cost soy bean (EUR/ha);posnorm;seed_cost_soy_bean;105;NA;175
Seed cost maize (EUR/ha);Seed cost maize (EUR/ha);posnorm;seed_cost_maize;45;NA;75
Seed cost lansberger gemenge (EUR/ha);Seed cost landsberger gemenge (EUR/ha);posnorm;seed_cost_langsberger_gemenge;16;NA;24
Action that farmer has to take for crop protection like beneficials or organic pesticides;Crop protection cost (Eur/ha);posnorm;crop_protection_cost;200;;500
Fertilizer cost for wheat (EUR/ha);Fertilizer cost (EUR/ha);posnorm;fertilizer_cost;100;NA;200
Market price wheat (EUR/kg);Market price wheat (EUR/kg);posnorm;price_wheat;0.45;NA;0.55
